Vassdrag;VdrNr;RegionNr;RegionNavn;Filnavn;GBM;GBM_lav;GBM_hoy;Andel15;GytingSim;Fjord;Ytre;Lnr;Normalbeskatningsregion;FemSeaAge;SmoltAge;Inkluder;Latitude;Longitude;Delbestand;Hovedbestand_nr;Andel
Enningdalselva;001.1Z;1;Østlandet;Enningdal;453;340;680;1;TRUE;;TRUE;3;Sør;3;2;1;58.9815531;11.4744159;0;;
Tista;001.Z;1;Østlandet;001.Z_Tista;;;;1;FALSE;;TRUE;12;Sør;;;;59.11859;11.36949;0;;
Glomma;002.Z;1;Østlandet;Glomma;960;480;1440;1;TRUE;;TRUE;5;Sør;2;2;0;59.193023;10.9476179;0;;
Aagaardselva;002.ZB;1;Østlandet;GlommaAagaard;480;240;720;1;TRUE;;TRUE;5;Sør;2;2;0;59.193023;10.9476179;1;002.Z;0.5
Gjersjøelva;005.4Z;1;Østlandet;005.4Z_Gjersjøe;20;15;30;0.62;FALSE;;TRUE;4;Sør;;;;59.82926;10.76452;0;;
Akerselva;006.Z;1;Østlandet;006.Z_Akerselv;37;28;55;0.55;FALSE;;TRUE;1;Sør;;;;59.90479;10.75364;0;;
Lysakerelva;007.Z;1;Østlandet;007.Z_Lysakere;53;40;80;0.91;FALSE;;TRUE;8;Sør;;;;59.91146;10.64199;0;;
Sandvikselva;008.Z;1;Østlandet;Sandvikselva;331;248;497;0.94;TRUE;;TRUE;10;Sør;1.5;2;0;59.8868633;10.5296268;0;;
Åroselva;009.Z;1;Østlandet;Aaros;247;185;370;0.97;TRUE;;TRUE;13;Sør;1.5;2;1;59.70432;10.51927;0;;
Lierelva;011.Z;1;Østlandet;011.Z_Lierelva;494;247;741;0.87;FALSE;;TRUE;7;Sør;;;;59.74829;10.2835;0;;
Drammenselva;012.Z;1;Østlandet;012.Z_Drammens;4355;2177;6532;0.98;FALSE;;TRUE;2;Sør;;;;59.73178;10.23828;0;;
Numedalslågen;015.Z;1;Østlandet;Numedal;12296;6148;18444;0.99;TRUE;;TRUE;9;Sør;2;2;1;59.0376472;10.0545663;0;;
Herrevassdraget;016.4Z;1;Østlandet;016.4Z_Herrevas;80;40;120;0.95;FALSE;;TRUE;6;Sør;;;;59.1058;9.56491;0;;
Skiensvassdraget;016.Z;1;Østlandet;Skien;1496;748;2244;0.99;TRUE;;TRUE;11;Sør;2;2;0;59.1350011;9.6302816;0;;
Vegårsvassdraget;018.Z;2;Agderkysten;018.Z_Vegårdsv;565;424;848;0.91;FALSE;;TRUE;23;Sør;;;;58.66981;8.98096;0;;
Nidelva;019.Z;2;Agderkysten;NidelvaAA;1574;852;2361;0.9;TRUE;;TRUE;19;Sør;1;2;1;58.4345959;8.7121709;0;;
Tovdalselva;020.Z;2;Agderkysten;Tovdal;3721;2791;5582;0.96;TRUE;;TRUE;22;Sør;2;2;1;58.1947071;8.0762012;0;;
Otra;021.Z;2;Agderkysten;Otra;2341;1756;3511;0.95;TRUE;;TRUE;20;Sør;1.5;2;1;58.1441397;8.0131473;0;;
Songdalselva (Søgne);022.1Z;2;Agderkysten;SogneSogndal;559;419;838;0.72;TRUE;;TRUE;21;Sør;1.5;2;1;58.0776571;7.8166908;0;;
Mandalselva;022.Z;2;Agderkysten;Mandal;5155;3866;7733;0.95;TRUE;;TRUE;18;Sør;1.5;2;1;58.0211101;7.4574749;0;;
Audna;023.Z;2;Agderkysten;Audna;1210;605;1815;0.93;TRUE;;TRUE;14;Sør;2;2;1;58.0581041;7.2790113;0;;
Lygna;024.Z;2;Agderkysten;Lygna;1889;1417;2834;0.97;TRUE;;TRUE;17;Sør;1.5;2;1;58.1422158;7.0491517;0;;
Feda;025.3Z;2;Agderkysten;025.3Z_Feda;73;36;109;0.97;FALSE;;TRUE;15;Sør;;;;58.26251;6.81782;0;;
Kvina;025.Z;2;Agderkysten;Kvina;1353;1015;2030;0.99;TRUE;;TRUE;16;Sør;2;2;1;58.2721432;6.8881914;0;;
Sokndalselva;026.4Z;3;Jæren;Sokndal;861;646;1076;0.91;TRUE;;TRUE;33;Sør;1.5;2;1;58.3226649;6.2845897;0;;
Sireåna;026.Z;2;Agderkysten;Sira;163;122;244;0.88;TRUE;;TRUE;24;Sør;1.5;2;1;58.29073;6.43846;0;;
Hellelandselva;027.3Z;3;Jæren;Helleland;123;92;185;0.91;TRUE;;TRUE;28;Sør;1;2;1;58.45817;6.00273;0;;
Ogna;027.6Z;3;Jæren;Ogna;1162;968;1356;0.89;TRUE;;TRUE;32;Sør;1;2;1;58.5167807;5.7927407;0;;
Fuglestadelva;027.7Z;3;Jæren;Fuglestad;387;290;483;0.92;TRUE;;TRUE;27;Sør;1;2;1;58.537356;5.7293124;0;;
Bjerkreimselva;027.Z;3;Jæren;Bjerkreim;4319;3239;5399;0.93;TRUE;;TRUE;25;Sør;1;2;1;58.4770835;5.9954466;0;;
Kvassheimelva;028.1Z;3;Jæren;Kvassheim;67;56;78;0.69;TRUE;;TRUE;30;Sør;1;2;1;58.547443;5.6807923;0;;
Søndre Varhaugselva;028.21Z;3;Jæren;Svarhaug;73;54;91;0.35;TRUE;;TRUE;34;Sør;1;2;1;58.60762;5.61483;0;;
Nordre Varhaugselva;028.22Z;3;Jæren;Nvarhaug;83;62;104;0.35;TRUE;;TRUE;31;Sør;1;2;1;58.61513;5.6078;0;;
Håelva;028.3Z;3;Jæren;Haaelv;1821;1366;2276;0.95;TRUE;;TRUE;29;Sør;1;2;1;58.6696092;5.5440178;0;;
Figgjo;028.Z;3;Jæren;Figgjo;2246;1871;2620;0.95;TRUE;;TRUE;26;Sør;1;2;1;58.8109072;5.5477289;0;;
Dirdalselva;030.2Z;11;Indre_Rogaland;Dirdal;310;233;466;0.99;TRUE;;FALSE;36;Sør;2;2;1;58.8391795;6.1843806;0;;
Espedalselva;030.4Z;11;Indre_Rogaland;Espedal;648;486;972;0.98;TRUE;;FALSE;35;Sør;2;2;1;58.8602693;6.1506015;0;;
Frafjordelva;030.Z;11;Indre_Rogaland;Frafjord;239;179;358;0.99;TRUE;;FALSE;37;Sør;2;2;1;58.8448289;6.2854862;0;;
Lyseelva;031.Z;11;Indre_Rogaland;Lyse;166;124;234;0.97;TRUE;;FALSE;41;Sør;2;2;1;59.0516239;6.6451511;0;;
Jørpelandsåna;032.Z;11;Indre_Rogaland;Jorpeland;111;83;166;0.94;TRUE;;FALSE;40;Sør;2;2;1;59.0166074;6.0438392;0;;
Årdalselva;033.Z;11;Indre_Rogaland;Aardal;892;669;1338;0.98;TRUE;;FALSE;51;Sør;2;2;0;59.1438894;6.1708072;0;;
Hjelmelandsåna;035.2Z;11;Indre_Rogaland;Hjelmeland;97;73;121;0.94;TRUE;;FALSE;38;Sør;1.5;2;1;59.2361529;6.1790421;0;;
Vormo;035.3Z;11;Indre_Rogaland;Vormo;300;225;375;0.95;TRUE;;FALSE;48;Sør;2;2;1;59.2716677;6.3326029;0;;
Hålandselva;035.7Z;11;Indre_Rogaland;Haaland;119;89;178;0.97;TRUE;;FALSE;39;Sør;2;2;1;59.348475;6.2380306;0;;
Ulla;035.Z;11;Indre_Rogaland;Ulla;178;133;266;0.99;TRUE;;FALSE;46;Sør;2;2;1;59.3244378;6.4334898;0;;
Suldalslågen;036.Z;11;Indre_Rogaland;Suldal;2318;1738;3477;0.99;TRUE;;FALSE;44;Sør;3;2;0;59.4811687;6.2501649;0;;
Nordelva (Åbøelva);037.2Z;11;Indre_Rogaland;NordelvaSauda;55;41;82;0.93;TRUE;;FALSE;49;Sør;1.5;2;1;59.64696;6.35309;0;;
Storelva (Sauda);037.Z;11;Indre_Rogaland;StorelvaSauda;174;87;260;0.96;TRUE;;FALSE;43;Sør;1.5;2;1;59.64679;6.3536;0;;
Rødneelva;038.3Z;11;Indre_Rogaland;Rodne;123;93;154;0.88;TRUE;;FALSE;42;Sør;1.5;2;1;59.5405289;5.8698606;0;;
Åmselva;038.5Z;11;Indre_Rogaland;Aamselva;168;126;210;0.61;TRUE;;FALSE;50;Sør;1;2;1;59.47577;5.73819;0;;
Vikedalselva;038.Z;11;Indre_Rogaland;Vikedal;736;552;920;0.93;TRUE;;FALSE;47;Sør;2;2;1;59.4969772;5.8973029;0;;
Svendsbøelva;041.21Z;11;Indre_Rogaland;041.21Z_Svendsbø;;;;0.7;FALSE;;FALSE;45;Sør;;;;59.54696;5.56287;0;;
Etneelva;041.Z;12;Hardangerfjord;Etne;1025;769;1281;0.94;TRUE;Hardanger;FALSE;65;Sør;2;3;1;59.6728414;5.9338736;0;;
Fjæraelva;042.3Z;12;Hardangerfjord;Fjaeraelva;38;28;57;0.99;TRUE;Hardanger;FALSE;66;Sør;2;3;1;59.87477;6.3802;0;;
Mosneselva;042.4Z;12;Hardangerfjord;042.4Z_Mosnesel;;;;0.92;FALSE;Hardanger;FALSE;74;Sør;;;;59.85391;6.33877;0;;
Ådlandselva (Frugardselva);044.3Z;4;Kysten_fra_Stadt_til_Stavanger;044.3Z_Ådland;85;43;128;0.95;FALSE;;TRUE;;Sør;;;;59.78731;5.50741;0;;
Kjærelva;044.5Z;4;Kysten_fra_Stadt_til_Stavanger;044.5Z_Kjærelva;;;;0.94;FALSE;;TRUE;120;Sør;;;;59.89843;5.29502;0;;
Uskedalselva;045.2Z;12;Hardangerfjord;Uskedal;386;290;483;0.92;TRUE;Hardanger;FALSE;81;Sør;2;3;1;59.92935;5.85456;0;;
Guddalselva;045.32Z;12;Hardangerfjord;045.32Z_Guddalse;;;;0.93;FALSE;Hardanger;FALSE;69;Sør;;;;59.96479;5.99575;0;;
Rosendalselva;045.4Z;12;Hardangerfjord;Rosendal;99;74;124;0.97;TRUE;Hardanger;FALSE;77;Sør;2;3;1;59.9846809;6.0066824;0;;
Æneselva;046.1Z;12;Hardangerfjord;Aeneselva;177;133;266;1;TRUE;Hardanger;FALSE;82;Sør;2;3;1;60.09196;6.1102;0;;
Bondhuselva;046.3Z;12;Hardangerfjord;046.3Z_Bondhuse;;;;0.98;FALSE;Hardanger;FALSE;63;Sør;;;;60.11863;6.26696;0;;
Jondalselva;047.2Z;12;Hardangerfjord;Jondal;54;40;67;1;TRUE;Hardanger;FALSE;71;Sør;1.5;3;1;60.27698;6.24974;0;;
Opo;048.Z;12;Hardangerfjord;Opo;149;111;222;1;TRUE;Hardanger;FALSE;75;Sør;2;3;1;60.07193;6.5503;0;;
Kinso;050.1Z;12;Hardangerfjord;Kinso;126;95;189;1;TRUE;Hardanger;FALSE;72;Sør;2;3;1;60.3779803;6.7242193;0;;
Simadalselva (Simo);050.4Z;12;Hardangerfjord;050.4Z_Simadals;;;;1;FALSE;Hardanger;FALSE;78;Sør;;;;60.49684;7.13821;0;;
Eio;050.Z;12;Hardangerfjord;Eio;427;320;641;1;TRUE;Hardanger;FALSE;64;Sør;2;3;1;60.46957;7.07033;0;;
Granvin;052.1Z;12;Hardangerfjord;Granvin;187;140;281;0.99;TRUE;Hardanger;FALSE;68;Sør;2;3;1;60.5222773;6.7147107;0;;
Øysteseelva;052.6Z;12;Hardangerfjord;052.6Z_Øystesee;;;;0.97;FALSE;Hardanger;FALSE;83;Sør;;;;60.38517;6.20156;0;;
Steinsdalselva;052.7Z;12;Hardangerfjord;SteinsdalKvam;233;175;291;0.99;TRUE;Hardanger;FALSE;79;Sør;2;3;1;60.3731186;6.144918;0;;
Tordalselva (Fosselva);053.1Z;12;Hardangerfjord;053.1Z_Tordalse;;;;0.99;FALSE;Hardanger;FALSE;67;Sør;;;;60.26881;6.03821;0;;
Hopselva (Fusa);055.3Z;12;Hardangerfjord;055.3Z_Hopselva;;;;0.91;FALSE;Hardanger;FALSE;70;Sør;;;;60.3068;5.66156;0;;
Lønningdalselva;055.6Z;12;Hardangerfjord;055.6Z_Lønningd;;;;0.5;FALSE;Hardanger;FALSE;73;Sør;;;;60.26179;5.563;0;;
Oselva;055.7Z;12;Hardangerfjord;OselvaiOs;425;319;637;0.97;TRUE;Hardanger;FALSE;76;Sør;1.5;3;1;60.1844179;5.4714502;0;;
Tysseelva;055.Z;12;Hardangerfjord;Tysse;247;185;371;0.86;TRUE;Hardanger;FALSE;80;Sør;1.5;3;1;60.3749;5.75859;0;;
Fjellvassdraget;057.2Z;4;Kysten_fra_Stadt_til_Stavanger;057.2Z_Fjellvas;;;;0.99;FALSE;;TRUE;119;Sør;;;;60.31536;5.06516;0;;
Loneelva;060.4Z;13;Osterøy;Lone;153;127;178;0.88;TRUE;Osterøy;FALSE;58;Sør;1.5;3;1;60.526203;5.4886451;0;;
Storelva (Arna);061.2Z;13;Osterøy;StorelvaiArna;167;125;209;0.96;TRUE;Osterøy;FALSE;61;Sør;2;3;0;60.419411;5.4650633;0;;
Daleelva;061.Z;13;Osterøy;DaleelvaiVaksdal;195;146;292;0.96;TRUE;Osterøy;FALSE;56;Sør;1.5;3;0;60.5769478;5.7711801;0;;
Vosso;062.Z;13;Osterøy;Vosso;2110;1583;3166;0.96;TRUE;Osterøy;FALSE;62;Sør;2;3;0;60.64012;5.95119;0;;
Ekso;063.Z;13;Osterøy;Ekso;219;164;328;0.98;TRUE;Osterøy;FALSE;57;Sør;2;3;1;60.728503;5.7930645;0;;
Romarheimselva;064.4Z;13;Osterøy;064.4Z_Romarhei;;;;0.26;FALSE;Osterøy;FALSE;60;Sør;;;;60.7226;5.63858;0;;
Modalselva;064.Z;13;Osterøy;Modalselva;598;448;896;0.94;TRUE;Osterøy;FALSE;59;Sør;2;3;1;60.81562;5.80051;0;;
Haugsdalselva;067.2Z;14;Austfjorden;Haugsdalselva;139;104;208;0.96;TRUE;Austfjorden;FALSE;53;Sør;2;3;1;60.85731;5.51222;0;;
Matreelva;067.3Z;14;Austfjorden;Matreelva;150;112;225;1;TRUE;Austfjorden;FALSE;55;Sør;2;3;1;60.87334;5.58191;0;;
Hopevassdraget;067.4Z;14;Austfjorden;067.4Z_Hopevass;;;;0.77;FALSE;Austfjorden;FALSE;54;Sør;;;;60.91619;5.52857;0;;
Frøysetelva (Yndesdal);067.6Z;14;Austfjorden;Froyset;169;126;211;0.95;TRUE;Austfjorden;FALSE;52;Sør;2;3;1;60.8624992;5.2089632;0;;
Ortnevikselva;070.2Z;15;Sognefjorden;070.2Z_Ortnevik;0;0;0;0.78;FALSE;;FALSE;91;Sør;;;;61.11087;6.13221;0;;
Vikja;070.Z;15;Sognefjorden;Vikja;43;32;64;0.98;TRUE;;FALSE;95;Sør;2;3;0;61.0897022;6.5857595;0;;
Nærøydalselvi;071.Z;15;Sognefjorden;Naeroydal;513;385;769;0.97;TRUE;;FALSE;90;Sør;2;3;1;60.8808601;6.8430768;0;;
Flåmselva;072.2Z;15;Sognefjorden;Flaam;196;147;294;0.98;TRUE;;FALSE;87;Sør;2;3;1;60.8651971;7.1199532;0;;
Aurlandselva;072.Z;15;Sognefjorden;Aurlandselva;596;447;894;0.95;TRUE;;FALSE;84;Sør;2;3;1;60.9050943;7.1832933;0;;
Lærdalselva;073.Z;15;Sognefjorden;Laerdal;5017;3762;6271;1;TRUE;;FALSE;89;Sør;3;3;0;61.10295;7.47243;0;;
Årdalselva;074.Z;15;Sognefjorden;074.Z_Årdalsel;;;;0.96;FALSE;;FALSE;96;Sør;;;;61.23555;7.69803;0;;
Jostedøla (Jostedalselva);076.Z;15;Sognefjorden;076.Z_Jostedøl;;;;1;FALSE;;FALSE;88;Sør;;;;61.39588;7.29096;0;;
Sogndalselva;077.3Z;15;Sognefjorden;Sogndal;114;86;172;0.9;TRUE;;FALSE;92;Sør;2;3;1;61.2277953;7.1043974;0;;
Årøyelva;077.Z;15;Sognefjorden;Aaroy;128;96;160;1;TRUE;;FALSE;97;Sør;3;3;0;61.2684765;7.1667858;0;;
Storelvi (Fjærland);078.2Z;15;Sognefjorden;078.2Z_Storelvi;;;;1;FALSE;;FALSE;93;Sør;;;;61.41627;6.75706;0;;
Vetlefjordelvi;078.5Z;15;Sognefjorden;078.5Z_Vetlefjo;;;;0.94;FALSE;;FALSE;94;Sør;;;;61.29992;6.55976;0;;
Daleelva;079.Z;15;Sognefjorden;DaleiHoyanger;271;203;406;0.98;TRUE;;FALSE;86;Sør;1.5;3;0;61.215816;6.0734999;0;;
Bøelva;080.4Z;15;Sognefjorden;080.4Z_Bøelva;22;16;27;0.86;FALSE;;FALSE;85;Sør;;;;61.13931;5.34524;0;;
Dalselva (Dale);082.5Z;16;Dalsfjorden;DalselvaDaleFjaler;142;107;213;0.91;TRUE;Dalsfjorden;FALSE;109;Sør;1;3;1;61.3642744;5.3949658;0;;
Flekkeelva;082.Z;16;Dalsfjorden;Flekke;277;188;415;0.99;TRUE;Dalsfjorden;FALSE;110;Sør;2;3;1;61.3112021;5.345125;0;;
Kvamselva i Sunnfjord;083.2Z;16;Dalsfjorden;Kvamselva;172;129;215;0.61;TRUE;Dalsfjorden;FALSE;112;Sør;1;3;1;61.37598;5.64109;0;;
Rivedalselva;083.4Z;16;Dalsfjorden;083.4Z_Rivedals;38;28;57;0.89;FALSE;Dalsfjorden;FALSE;113;Sør;;;;61.36217;5.26457;0;;
Gaula i Sunnfjorden;083.Z;16;Dalsfjorden;Gaular;1443;1082;2164;0.99;TRUE;Dalsfjorden;FALSE;111;Sør;2;3;1;61.3678829;5.672975;0;;
Nausta;084.7Z;17;Førdefjorden;Nausta;2171;1628;2714;0.95;TRUE;Førdefjorden;FALSE;108;Sør;1.5;3;1;61.5061424;5.7203231;0;;
Jølstra;084.Z;17;Førdefjorden;Jolstra;1153;865;1441;1;TRUE;Førdefjorden;FALSE;107;Sør;2;3;1;61.45875;5.82984;0;;
Solheimsvassdraget;085.4Z;4;Kysten_fra_Stadt_til_Stavanger;085.4Z_Solheims;;;;0.99;FALSE;;TRUE;118;Sør;;;;61.64767;5.42428;0;;
Norddalselva (Flora);085.5Z;4;Kysten_fra_Stadt_til_Stavanger;085.5Z_Norddals;;;;0.93;FALSE;;TRUE;116;Sør;;;;61.64096;5.37242;0;;
Osenelva;085.Z;4;Kysten_fra_Stadt_til_Stavanger;OsenFlora;1019;764;1274;1;TRUE;;TRUE;117;Sør;2;3;1;61.5513147;5.3993436;0;;
Indrehusvassdraget;086.1Z;4;Kysten_fra_Stadt_til_Stavanger;086.1Z_Indrehus;;;;0.96;FALSE;;TRUE;115;Sør;;;;61.72563;5.22309;0;;
Hopselva i Hyen;086.8Z;18;Nordfjord;HopselvaHyen;94;70;117;0.95;TRUE;Nordfjord;FALSE;101;Sør;2;3;1;61.7404429;5.9175507;0;;
Åelva og Ommedalselva;086.Z;18;Nordfjord;AaOmmedal;436;326;544;0.98;TRUE;Nordfjord;FALSE;106;Sør;2;3;1;61.7324124;5.9173136;0;;
Ryggelva;087.1Z;18;Nordfjord;087.1Z_Ryggelva;56;42;84;0.94;FALSE;Nordfjord;FALSE;104;Sør;;;;61.77964;6.12645;0;;
Gloppenelva;087.Z;18;Nordfjord;Gloppen;443;332;664;1;TRUE;Nordfjord;FALSE;99;Sør;2;3;1;61.7698785;6.1980587;0;;
Oldenelva;088.1Z;18;Nordfjord;Olden;151;114;227;1;TRUE;Nordfjord;FALSE;103;Sør;2;3;1;61.8352458;6.8036405;0;;
Loelva;088.2Z;18;Nordfjord;Loen;127;95;191;0.99;TRUE;Nordfjord;FALSE;102;Sør;2;3;1;61.8706906;6.844166;0;;
Strynselva;088.Z;18;Nordfjord;Stryn;540;270;810;1;TRUE;Nordfjord;FALSE;105;Sør;2;3;1;61.9018435;6.7170877;0;;
Hjalma;089.4Z;18;Nordfjord;Hjalma;121;91;182;0.92;TRUE;Nordfjord;FALSE;100;Sør;2;3;1;61.9131944;5.8527408;0;;
Eidselva;089.Z;18;Nordfjord;Eidselva;763;572;1145;0.98;TRUE;Nordfjord;FALSE;98;Sør;2;3;1;61.9019873;5.9845398;0;;
Ervikelva;091.3Z;4;Kysten_fra_Stadt_til_Stavanger;Ervik;123;92;154;1;TRUE;;TRUE;114;Sør;1;3;1;62.1649645;5.1100084;0;;
Åheimselva;092.Z;19;Sunnmørsfjordene;Aaheim;468;351;585;0.95;TRUE;Sunnmørsfjordene;FALSE;170;Sør;1;3;1;62.0332222;5.5287229;0;;
Oselva (Syvde);093.2Z;19;Sunnmørsfjordene;OsSyvde;173;130;224;0.93;TRUE;Sunnmørsfjordene;FALSE;153;Sør;1.5;3;1;62.0878237;5.7279462;0;;
Norddalselva (Vanylven);093.3Z;19;Sunnmørsfjordene;093.3Z_Norddals;32;24;40;1;FALSE;Sunnmørsfjordene;FALSE;152;Sør;;;;62.0962;5.74722;0;;
Austefjordelva;094.4Z;19;Sunnmørsfjordene;Austefjord;233;175;291;0.95;TRUE;Sunnmørsfjordene;FALSE;144;Sør;2;3;1;62.0611902;6.3250521;0;;
Øyraelva (Volda);094.6Z;19;Sunnmørsfjordene;094.6Z_Øyraelva;9;7;11;0.8;FALSE;Sunnmørsfjordene;FALSE;169;Sør;;;;62.14363;6.07038;0;;
Storelva (Søre Vartdal);095.3Z;19;Sunnmørsfjordene;StorSVart;324;243;405;0.95;TRUE;Sunnmørsfjordene;FALSE;158;Sør;2;3;0;62.3016841;6.0807864;0;;
Barstadvikelva;095.4Z;19;Sunnmørsfjordene;Barstadvik;165;124;206;0.96;TRUE;Sunnmørsfjordene;FALSE;145;Sør;1.5;3;0;62.362188;6.2738142;0;;
Ørstaelva;095.Z;19;Sunnmørsfjordene;Orsta;1353;1015;1691;0.99;TRUE;Sunnmørsfjordene;FALSE;168;Sør;2;3;1;62.195114;6.1252804;0;;
Hareidvassdraget;096.1Z;19;Sunnmørsfjordene;Hareid;388;291;485;0.83;TRUE;Sunnmørsfjordene;FALSE;148;Sør;1;3;1;62.366302;6.0405609;0;;
Standalselva;097.11Z;19;Sunnmørsfjordene;097.11Z_Standals;;;;0.95;FALSE;Sunnmørsfjordene;FALSE;156;Sør;;;;62.26563;6.42436;0;;
Bondalselva;097.1Z;19;Sunnmørsfjordene;Bondal;582;437;728;0.95;TRUE;Sunnmørsfjordene;FALSE;146;Sør;1.5;3;1;62.2058771;6.4779839;0;;
Vikelva (Bjørke);097.2Z;19;Sunnmørsfjordene;VikelvBjorke;169;127;211;1;TRUE;Sunnmørsfjordene;FALSE;165;Sør;2;3;1;62.1039783;6.548034;0;;
Norangdalselva;097.4Z;19;Sunnmørsfjordene;Norangdal;127;95;159;0.98;TRUE;Sunnmørsfjordene;FALSE;150;Sør;2;3;1;62.19273;6.65071;0;;
Riksheimselva;097.6Z;19;Sunnmørsfjordene;097.6Z_Riksheim;;;;0.79;FALSE;Sunnmørsfjordene;FALSE;154;Sør;;;;62.35782;6.57474;0;;
Vikelva (Sykkylven);097.721Z;19;Sunnmørsfjordene;097.721Z_Vikelva;;;;0.93;FALSE;Sunnmørsfjordene;FALSE;166;Sør;;;;62.37906;6.56874;0;;
Aureelva;097.72Z;19;Sunnmørsfjordene;Aureelva;323;242;404;0.88;TRUE;Sunnmørsfjordene;FALSE;143;Sør;1.5;3;1;62.3954381;6.5817185;0;;
Velledalselva (Fet);097.7Z;19;Sunnmørsfjordene;Velledal;484;363;605;0.85;TRUE;Sunnmørsfjordene;FALSE;164;Sør;1;3;1;62.3337242;6.592159;0;;
Strandaelva;098.3Z;19;Sunnmørsfjordene;Stranda;343;257;515;0.99;TRUE;Sunnmørsfjordene;FALSE;159;Sør;2;3;1;62.3068349;6.9502432;0;;
Korsbrekkelva;098.6Z;19;Sunnmørsfjordene;Korsbrekk;161;134;188;0.97;TRUE;Sunnmørsfjordene;FALSE;149;Sør;2;3;1;62.0817567;6.8757705;0;;
Eidsdalselva (Ytterdalselva);099.1Z;19;Sunnmørsfjordene;099.1Z_Eidsdals;172;129;258;0.91;FALSE;Sunnmørsfjordene;FALSE;147;Sør;;;;62.26175;7.17667;0;;
Norddalselva (Norddal);099.2Z;19;Sunnmørsfjordene;099.2Z_Norddals;86;65;108;0.98;FALSE;Sunnmørsfjordene;FALSE;151;Sør;;;;62.25475;7.23234;0;;
Tafjordelva;099.Z;19;Sunnmørsfjordene;Tafjord;37;28;56;0.85;TRUE;Sunnmørsfjordene;FALSE;160;Sør;1;3;1;62.23417;7.41735;0;;
Stordalselva;100.2Z;19;Sunnmørsfjordene;StordaliStordal;724;543;905;0.96;TRUE;Sunnmørsfjordene;FALSE;157;Sør;1.5;3;1;62.3768331;6.981165;0;;
Vagsvikelva;100.3Z;19;Sunnmørsfjordene;100.3Z_Vagsvike;25;19;31;0.6;FALSE;Sunnmørsfjordene;FALSE;162;Sør;;;;62.45047;6.88989;0;;
Valldøla;100.Z;19;Sunnmørsfjordene;Valldal;808;606;1212;1;TRUE;Sunnmørsfjordene;FALSE;163;Sør;2;3;1;62.2964612;7.2594427;0;;
Ørskogelva;101.1Z;19;Sunnmørsfjordene;Orskog;99;74;123;0.79;TRUE;Sunnmørsfjordene;FALSE;167;Sør;1;3;1;62.4794639;6.8118977;0;;
Solnørelva;101.2Z;19;Sunnmørsfjordene;Solnor;128;96;159;0.63;TRUE;Sunnmørsfjordene;FALSE;155;Sør;1;3;1;62.4876747;6.7254702;0;;
Tennfjordelva;101.6Z;19;Sunnmørsfjordene;Tennfjord;346;260;433;0.65;TRUE;Sunnmørsfjordene;FALSE;161;Sør;1.5;3;1;62.5319513;6.5860888;0;;
