Kommune;Østlandet;Agderkysten;Jæren;Kysten_fra_Stadt_til_Stavanger;Kysten_av_Møre_og_Romsdal;Kysten_av_Trøndelag;Nordlandskysten_sør_for_Vestfjorden;Lofoten_og_Vesterålen;Kysten_av_Troms;Kysten_av_Finnmark;Indre_Rogaland;Indre_Hordaland;Sognefjorden;Indre_Fjordane;Fjordene_i_Møre_og_Romsdal;Fjordstrøk_i_Trøndelag;Indre_Helgeland;Ofoten_og_Indre_Salten;Fjordstrøkene_i_Troms;Fjordene_i_Vest-Finnmark;Porsangerfjorden;Tanafjorden;Indre_Varanger
1499 Uoppgitt kommune Sogn og Fjordane;;;;;;;;;;;;;;;;;;;;;;;
1501 Ålesund (-1976);;;;;;;;;;;;;;;1;;;;;;;;
1502 Molde (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1503 Kristiansund  (-2007);;;;;1;;;;;;;;;;;;;;;;;;
1504 Ålesund (1977-2019);;;;;;;;;;;;;;;1;;;;;;;;
1505 Kristiansund;;;;;1;;;;;;;;;;;;;;;;;;
1506 Molde;;;;;;;;;;;;;;;1;;;;;;;;
1507 Ålesund;;;;;;;;;;;;;;;1;;;;;;;;
1511 Vanylven;;;;;;;;;;;;;;;1;;;;;;;;
1514 Sande (Møre og Romsdal);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1515 Herøy (Møre og Romsdal);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1516 Ulstein;;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1517 Hareid;;;;;;;;;;;;;;;1;;;;;;;;
1519 Volda (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1520 Ørsta;;;;;;;;;;;;;;;1;;;;;;;;
1523 Ørskog (1977-2019);;;;;;;;;;;;;;;1;;;;;;;;
1524 Norddal (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1525 Stranda;;;;;;;;;;;;;;;1;;;;;;;;
1526 Stordal (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1527 Ørskog (-1976);;;;;;;;;;;;;;;1;;;;;;;;
1528 Sykkylven;;;;;;;;;;;;;;;1;;;;;;;;
1529 Skodje (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1531 Sula;;;;;;;;;;;;;;;1;;;;;;;;
1532 Giske;;;;;1;;;;;;;;;;;;;;;;;;
1534 Haram (-2019);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1535 Vestnes;;;;;;;;;;;;;;;1;;;;;;;;
1539 Rauma;;;;;;;;;;;;;;;1;;;;;;;;
1543 Nesset (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1545 Midsund (-2019);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1546 Sandøy (-2019);;;;;1;;;;;;;;;;;;;;;;;;
1547 Aukra;;;;;1;;;;;;;;;;;;;;;;;;
1548 Fræna (-2019);;;;;1;;;;;;;;;;;;;;;;;;
1551 Eide (-2019);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1554 Averøy;;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1556 Frei (-2007);;;;;;;;;;;;;;;1;;;;;;;;
1557 Gjemnes;;;;;;;;;;;;;;;1;;;;;;;;
1560 Tingvoll;;;;;;;;;;;;;;;1;;;;;;;;
1563 Sunndal;;;;;;;;;;;;;;;1;;;;;;;;
1566 Surnadal;;;;;;;;;;;;;;;1;;;;;;;;
1567 Rindal (-2018);;;;;;;;;;;;;;;;;;;;;;;
1569 Aure (-2005);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1571 Halsa (-2019);;;;;;;;;;;;;;;1;;;;;;;;
1572 Tustna (-2005);;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1573 Smøla;;;;;1;;;;;;;;;;;;;;;;;;
1576 Aure;;;;;0.5;;;;;;;;;;0.5;;;;;;;;
1577 Volda;;;;;;;;;;;;;;;;;;;;;;;
1578 Fjord;;;;;;;;;;;;;;;;;;;;;;;
1579 Hustadvika;;;;;;;;;;;;;;;;;;;;;;;
1599 Uoppgitt kommune Møre og Romsdal;;;;;;;;;;;;;;;;;;;;;;;
1601 Trondheim (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1612 Hemne (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1613 Snillfjord (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1617 Hitra (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1620 Frøya (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1621 Ørland (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1622 Agdenes (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1624 Rissa (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1627 Bjugn (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1630 Åfjord (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1632 Roan (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1633 Osen (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1634 Oppdal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1635 Rennebu (-2017);;;;;;;;;;;;;;;;;;;;;;;
1636 Meldal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1638 Orkdal (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1640 Røros (-2017);;;;;;;;;;;;;;;;;;;;;;;
1644 Holtålen (-2017);;;;;;;;;;;;;;;;;;;;;;;
1645 Haltdalen (-1971);;;;;;;;;;;;;;;;;;;;;;;
1648 Midtre Gauldal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1653 Melhus (-2017);;;;;;;;;;;;;;;;;;;;;;;
1657 Skaun (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1662 Klæbu (-2017);;;;;;;;;;;;;;;;;;;;;;;
1663 Malvik (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1664 Selbu (-2017);;;;;;;;;;;;;;;;;;;;;;;
1665 Tydal (-2017);;;;;;;;;;;;;;;;;;;;;;;
1699 Uoppgitt kommune Sør-Trøndelag;;;;;;;;;;;;;;;;;;;;;;;
1702 Steinkjer (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1703 Namsos (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1711 Meråker (-2017);;;;;;;;;;;;;;;;;;;;;;;
1714 Stjørdal (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1717 Frosta (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1718 Leksvik (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1719 Levanger (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1721 Verdal (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1723 Mosvik  (-2011);;;;;;;;;;;;;;;;1;;;;;;;
1724 Verran (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1725 Namdalseid (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1729 Inderøy (-2011);;;;;;;;;;;;;;;;1;;;;;;;
1736 Snåase - Snåsa (-2017);;;;;;;;;;;;;;;;;;;;;;;
1738 Lierne (-2017);;;;;;;;;;;;;;;;;;;;;;;
1739 Raarvihke - Røyrvik (-2017);;;;;;;;;;;;;;;;;;;;;;;
1740 Namsskogan (-2017);;;;;;;;;;;;;;;;;;;;;;;
1742 Grong (-2017);;;;;;;;;;;;;;;;;;;;;;;
1743 Høylandet (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1744 Overhalla (-2017);;;;;;;;;;;;;;;;;;;;;;;
1748 Fosnes (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1749 Flatanger (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1750 Vikna (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1751 Nærøy (-2017);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
1755 Leka (-2017);;;;;;1;;;;;;;;;;;;;;;;;
1756 Inderøy (-2017);;;;;;;;;;;;;;;;1;;;;;;;
1799 Uoppgitt kommune Nord-Trøndelag;;;;;;;;;;;;;;;;;;;;;;;
1804 Bodø;;;;;;;0.5;;;;;;;;;;;0.5;;;;;
1805 Narvik (-2019);;;;;;;;;;;;;;;;;;1;;;;;
1806 Narvik;;;;;;;;;;;;;;;;;;1;;;;;
1811 Bindal;;;;;;;0.5;;;;;;;;;;0.5;;;;;;
1812 Sømna;;;;;;;0.5;;;;;;;;;;0.5;;;;;;
1813 Brønnøy;;;;;;;0.5;;;;;;;;;;0.5;;;;;;
1814 Brønnøy (-1976);;;;;;;0.5;;;;;;;;;;0.5;;;;;;
1815 Vega;;;;;;;1;;;;;;;;;;;;;;;;
1816 Vevelstad;;;;;;;0.5;;;;;;;;;;0.5;;;;;;
1818 Herøy (Nordland);;;;;;;1;;;;;;;;;;;;;;;;
1820 Alstahaug;;;;;;;0.5;;;;;;;;;;0.5;;;;;;
1822 Leirfjord;;;;;;;0.5;;;;;;;;;;0.5;;;;;;
1824 Vefsn;;;;;;;;;;;;;;;;;1;;;;;;
1825 Grane;;;;;;;;;;;;;;;;;;;;;;;
1826 Hattfjelldal;;;;;;;;;;;;;;;;;;;;;;;
1827 Dønna;;;;;;;1;;;;;;;;;;;;;;;;
1828 Nesna;;;;;;;1;;;;;;;;;;;;;;;;
1832 Hemnes;;;;;;;;;;;;;;;;;1;;;;;;
1833 Rana;;;;;;;;;;;;;;;;;1;;;;;;
1834 Lurøy;;;;;;;1;;;;;;;;;;;;;;;;
1835 Træna;;;;;;;1;;;;;;;;;;;;;;;;
1836 Rødøy;;;;;;;1;;;;;;;;;;;;;;;;
1837 Meløy;;;;;;;1;;;;;;;;;;;;;;;;
1838 Gildeskål;;;;;;;0.5;;;;;;;;;;;0.5;;;;;
1839 Beiarn;;;;;;;;;;;;;;;;;;1;;;;;
1840 Saltdal;;;;;;;;;;;;;;;;;;1;;;;;
1841 Fauske - Fuossko;;;;;;;;;;;;;;;;;;1;;;;;
1842 Skjerstad (-2004);;;;;;;;;;;;;;;;;;1;;;;;
1843 Bodin (-1967);;;;;;;;;;;;;;;;;;;;;;;
1845 Sørfold;;;;;;;;;;;;;;;;;;1;;;;;
1848 Steigen;;;;;;;1;;;;;;;;;;;;;;;;
1849 Hamarøy - Hábmer (-2019);;;;;;;;;;;;;;;;;;1;;;;;
1850 Divtasvuodna - Tysfjord (-2019);;;;;;;;;;;;;;;;;;1;;;;;
1851 Lødingen;;;;;;;;;;;;;;;;;;1;;;;;
1852 Tjeldsund (-2019);;;;;;;;;;;;;;;;;;1;;;;;
1853 Evenes;;;;;;;;;;;;;;;;;;1;;;;;
1854 Ballangen (-2019);;;;;;;;;;;;;;;;;;1;;;;;
1855 Ankenes (-1973);;;;;;;;;;;;;;;;;;;;;;;
1856 Røst;;;;;;;;1;;;;;;;;;;;;;;;
1857 Værøy;;;;;;;;1;;;;;;;;;;;;;;;
1858 Moskenes (1916-1975);;;;;;;;1;;;;;;;;;;;;;;;
1859 Flakstad;;;;;;;;1;;;;;;;;;;;;;;;
1860 Vestvågøy;;;;;;;;1;;;;;;;;;;;;;;;
1865 Vågan;;;;;;;;1;;;;;;;;;;;;;;;
1866 Hadsel;;;;;;;;1;;;;;;;;;;;;;;;
1867 Bø (Nordland);;;;;;;;1;;;;;;;;;;;;;;;
1868 Øksnes;;;;;;;;1;;;;;;;;;;;;;;;
1870 Sortland - Suortá;;;;;;;;1;;;;;;;;;;;;;;;
1871 Andøy;;;;;;;;1;;;;;;;;;;;;;;;
1874 Moskenes;;;;;;;;1;;;;;;;;;;;;;;;
1875 Hamarøy;;;;;;;;;;;;;;;;;;1;;;;;
1899 Uoppgitt kommune Nordland;;;;;;;;;;;;;;;;;;;;;;;
1901 Harstad (-2012);;;;;;;;;1;;;;;;;;;;;;;;
1902 Tromsø (-2019);;;;;;;;;1;;;;;;;;;;;;;;
1903 Harstad - Hárstták (2013-2019);;;;;;;;;1;;;;;;;;;;;;;;
1911 Kvæfjord (-2019);;;;;;;;;1;;;;;;;;;;;;;;
1913 Skånland (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1915 Bjarkøy (-2012);;;;;;;;;1;;;;;;;;;;;;;;
1917 Ibestad (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1919 Gratangen (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1920 Loabák - Lavangen (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1921 Salangen (-1976);;;;;;;;;;;;;;;;;;;1;;;;
1922 Bardu (-2019);;;;;;;;;;;;;;;;;;;;;;;
1923 Salangen (1977-2019);;;;;;;;;;;;;;;;;;;1;;;;
1924 Målselv (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1925 Sørreisa (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1926 Dyrøy (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1927 Tranøy (-2019);;;;;;;;;0.5;;;;;;;;;;0.5;;;;
1928 Torsken (-2019);;;;;;;;;1;;;;;;;;;;;;;;
1929 Berg (-2019);;;;;;;;;1;;;;;;;;;;;;;;
1931 Lenvik (-2019);;;;;;;;;0.5;;;;;;;;;;0.5;;;;
1933 Balsfjord (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1936 Karlsøy (-2019);;;;;;;;;1;;;;;;;;;;;;;;
1938 Lyngen (-2019);;;;;;;;;0.5;;;;;;;;;;0.5;;;;
1939 Storfjord - Omasvuotna - Omasvuono (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1940 Gáivuotna - Kåfjord - Kaivuono (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1941 Skjervøy (-2019);;;;;;;;;1;;;;;;;;;;;;;;
1942 Nordreisa - Ráisa - Raisi (-2019);;;;;;;;;;;;;;;;;;;1;;;;
1943 Kvænangen (-2019);;;;;;;;;0.5;;;;;;;;;;0.5;;;;
1999 Uoppgitt kommune Troms;;;;;;;;;;;;;;;;;;;;;;;
2001 Hammerfest (-1991);;;;;;;;;;;;;;;;;;;;;;;
2002 Vardø (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2003 Vadsø (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2004 Hammerfest (1992-2019);;;;;;;;;;1;;;;;;;;;;;;;
2011 Guovdageaidnu - Kautokeino (-2019);;;;;;;;;;;;;;;;;;;;;;;
2012 Alta (-2019);;;;;;;;;;;;;;;;;;;;1;;;
2014 Loppa (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2015 Hasvik (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2016 Sørøysund (-1991);;;;;;;;;;;;;;;;;;;;;;;
2017 Kvalsund (-2019);;;;;;;;;;;;;;;;;;;;1;;;
2018 Måsøy (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2019 Nordkapp (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2020 Porsanger - Porsángu - Porsanki (-2019);;;;;;;;;;;;;;;;;;;;;1;;
2021 Kárásjohka - Karasjok (-2019);;;;;;;;;;;;;;;;;;;;;;;
2022 Lebesby (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2023 Gamvik (-2019);;;;;;;;;;0.5;;;;;;;;;;;;0.5;
2024 Berlevåg (-2019);;;;;;;;;;0.5;;;;;;;;;;;;0.5;
2025 Deatnu - Tana (-2019);;;;;;;;;;;;;;;;;;;;;;1;
2027 Unjárga - Nesseby (-2019);;;;;;;;;;;;;;;;;;;;;;;1
2028 Båtsfjord (-2019);;;;;;;;;;1;;;;;;;;;;;;;
2030 Sør-Varanger (-2019);;;;;;;;;;0.5;;;;;;;;;;;;;0.5
2099 Uoppgitt kommune Finnmark;;;;;;;;;;;;;;;;;;;;;;;
5001 Trondheim;;;;;;;;;;;;;;;;1;;;;;;;
5004 Steinkjer (2018-2019);;;;;;;;;;;;;;;;;;;;;;;
5005 Namsos (2018-2019);;;;;;;;;;;;;;;;1;;;;;;;
5006 Steinkjer;;;;;;;;;;;;;;;;1;;;;;;;
5007 Namsos;;;;;;;;;;;;;;;;1;;;;;;;
5011 Hemne (2018-2019);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5012 Snillfjord (2018-2019);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5013 Hitra (2018-2019);;;;;;1;;;;;;;;;;;;;;;;;
5014 Frøya;;;;;;1;;;;;;;;;;;;;;;;;
5015 Ørland (2018-2019);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5016 Agdenes (2018-2019);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5017 Bjugn (2018-2019);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5018 Åfjord (2018-2019);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5019 Roan (2018-2019);;;;;;1;;;;;;;;;;;;;;;;;
5020 Osen;;;;;;1;;;;;;;;;;;;;;;;;
5021 Oppdal;;;;;;;;;;;;;;;;;;;;;;;
5022 Rennebu;;;;;;;;;;;;;;;;;;;;;;;
5023 Meldal (2018-2019);;;;;;;;;;;;;;;;;;;;;;;
5024 Orkdal (2018-2019);;;;;;;;;;;;;;;;1;;;;;;;
5025 Røros;;;;;;;;;;;;;;;;;;;;;;;
5026 Holtålen;;;;;;;;;;;;;;;;;;;;;;;
5027 Midtre Gauldal;;;;;;;;;;;;;;;;;;;;;;;
5028 Melhus;;;;;;;;;;;;;;;;;;;;;;;
5029 Skaun;;;;;;;;;;;;;;;;1;;;;;;;
5030 Klæbu (2018-2019);;;;;;;;;;;;;;;;;;;;;;;
5031 Malvik;;;;;;;;;;;;;;;;1;;;;;;;
5032 Selbu;;;;;;;;;;;;;;;;;;;;;;;
5033 Tydal;;;;;;;;;;;;;;;;;;;;;;;
5034 Meråker;;;;;;;;;;;;;;;;;;;;;;;
5035 Stjørdal;;;;;;;;;;;;;;;;1;;;;;;;
5036 Frosta;;;;;;;;;;;;;;;;1;;;;;;;
5037 Levanger;;;;;;;;;;;;;;;;1;;;;;;;
5038 Verdal;;;;;;;;;;;;;;;;1;;;;;;;
5039 Verran (2018-2019);;;;;;;;;;;;;;;;;;;;;;;
5040 Namdalseid (2018-2019);;;;;;;;;;;;;;;;1;;;;;;;
5041 Snåase - Snåsa;;;;;;;;;;;;;;;;;;;;;;;
5042 Lierne;;;;;;;;;;;;;;;;;;;;;;;
5043 Raarvihke - Røyrvik;;;;;;;;;;;;;;;;;;;;;;;
5044 Namsskogan;;;;;;;;;;;;;;;;;;;;;;;
5045 Grong;;;;;;;;;;;;;;;;;;;;;;;
5046 Høylandet;;;;;;;;;;;;;;;;;;;;;;;
5047 Overhalla;;;;;;;;;;;;;;;;;;;;;;;
5048 Fosnes (2018-2019);;;;;;;;;;;;;;;;1;;;;;;;
5049 Flatanger;;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5050 Vikna (2018-2019);;;;;;1;;;;;;;;;;;;;;;;;
5051 Nærøy (2018-2019);;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5052 Leka;;;;;;;;;;;;;;;;;;;;;;;
5053 Inderøy;;;;;;;;;;;;;;;;1;;;;;;;
5054 Indre Fosen;;;;;;;;;;;;;;;;1;;;;;;;
5055 Heim;;;;;;;;;;;;;;;;;;;;;;;
5056 Hitra;;;;;;1;;;;;;;;;;;;;;;;;
5057 Ørland;;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5058 Åfjord;;;;;;0.5;;;;;;;;;;0.5;;;;;;;
5059 Orkland;;;;;;;;;;;;;;;;;;;;;;;
5060 Nærøysund;;;;;;;;;;;;;;;;;;;;;;;
5061 Rindal;;;;;;;;;;;;;;;;;;;;;;;
